date,region,channel,spend_usd
2023-01-01,US,paid_search,183.01
2023-01-01,US,organic,22.58
2023-01-01,US,social,54.84
2023-01-01,US,email,13.02
2023-01-01,US,referral,29.96
2023-01-02,US,paid_search,123.56
2023-01-02,US,organic,21.47
2023-01-02,US,social,59.48
2023-01-02,US,email,16.75
2023-01-02,US,referral,24.78
2023-01-03,US,paid_search,107.32
2023-01-03,US,organic,25.82
2023-01-03,US,social,73.47
2023-01-03,US,email,11.96
2023-01-03,US,referral,26.25
2023-01-04,US,paid_search,231.69
2023-01-04,US,organic,14.92
2023-01-04,US,social,91.39
2023-01-04,US,email,16.61
2023-01-04,US,referral,29.33
2023-01-05,US,paid_search,187.94
2023-01-05,US,organic,18.16
2023-01-05,US,social,71.38
2023-01-05,US,email,15.32
2023-01-05,US,referral,18.3
2023-01-06,US,paid_search,48.54
2023-01-06,US,organic,22.18
2023-01-06,US,social,110.34
2023-01-06,US,email,6.14
2023-01-06,US,referral,18.69
2023-01-07,US,paid_search,207.86
2023-01-07,US,organic,30.29
2023-01-07,US,social,90.47
2023-01-07,US,email,12.27
2023-01-07,US,referral,23.86
2023-01-08,US,paid_search,241.87
2023-01-08,US,organic,16.77
2023-01-08,US,social,72.02
2023-01-08,US,email,13.19
2023-01-08,US,referral,19.04
2023-01-09,US,paid_search,185.52
2023-01-09,US,organic,28.12
2023-01-09,US,social,97.27
2023-01-09,US,email,14.05
2023-01-09,US,referral,23.18
2023-01-10,US,paid_search,109.66
2023-01-10,US,organic,24.42
2023-01-10,US,social,88.25
2023-01-10,US,email,14.32
2023-01-10,US,referral,44.96
2023-01-11,US,paid_search,193.44
2023-01-11,US,organic,16.24
2023-01-11,US,social,80.41
2023-01-11,US,email,19.31
2023-01-11,US,referral,25.71
2023-01-12,US,paid_search,115.28
2023-01-12,US,organic,24.6
2023-01-12,US,social,74.97
2023-01-12,US,email,22.02
2023-01-12,US,referral,31.75
2023-01-13,US,paid_search,159.87
2023-01-13,US,organic,26.41
2023-01-13,US,social,91.53
2023-01-13,US,email,18.2
2023-01-13,US,referral,28.03
