order_id,customer_id,region,currency_code,amount_local_currency,amount_display,product_category,order_date,delivered_date,is_refunded,refund_date,review_score,order_status
GH-ORD-000000,GH-CUST-00539,GH,GHS,249.15,249.15,Home & Kitchen,26-May-2025,28.05.2025,False,,3.0,completed
GH-ORD-000001,GH-CUST-00383,GH,GHS,434.58,434.58,Home & Kitchen,02/27/2025 00:00,03/07/2025 03:09,False,,3.0,completed
GH-ORD-000002,GH-CUST-00116,GH,GHS,261.36,261.36,Fashion,2025-01-08 00:00:00,,False,,,completed
GH-ORD-000003,GH-CUST-00196,GH,GHS,350.48,350.48,Home & Kitchen,10-Jan-2023,01/17/2023 16:47,False,,5.0,completed
GH-ORD-000004,GH-CUST-00417,GH,GHS,435.27,435.27,Beauty,12/26/2023 00:00,2024-01-04 15:41:01,False,,4.0,completed
GH-ORD-000005,GH-CUST-00321,GH,GHS,385.17,385.17,Health,10-Dec-2024,19.12.2024,False,,5.0,completed
GH-ORD-000006,GH-CUST-00429,GH,GHS,423.93,423.93,Grocery,2025-12-16 00:00:00,19-Dec-2025,False,,3.0,completed
GH-ORD-000007,GH-CUST-00296,GH,GHS,167.8,167.8,Toys,12.12.2024,2024-12-23 21:42:33,False,,2.0,completed
GH-ORD-000008,GH-CUST-00129,GH,GHS,343.16,343.16,Fashion,12.09.2023,21.09.2023,False,,,completed
GH-ORD-000009,GH-CUST-00462,GH,GHS,466.02,466.02,Health,2023-09-22 00:00:00,30.09.2023,True,06-Nov-2023,2.0,completed
GH-ORD-000010,GH-CUST-00357,GH,GHS,126.5,126.5,Sports,02/18/2025 00:00,07.03.2025,False,,3.0,completed
GH-ORD-000011,GH-CUST-00359,GH,GHS,250.74,250.74,Toys,06-Jan-2025,2025-01-09 08:07:03,False,,,completed
GH-ORD-000012,GH-CUST-00503,GH,GHS,515.31,515.31,Toys,2025-08-31 00:00:00,2025-09-02 16:46:22,False,,5.0,cancelled
GH-ORD-000013,GH-CUST-00319,GH,GHS,469.63,469.63,Grocery,12.01.2023,2023-01-23 14:14:13,False,,3.0,completed
GH-ORD-000014,GH-CUST-00478,GH,GHS,334.79,334.79,Books,01/05/2025 00:00,07-Jan-2025,False,,5.0,completed
GH-ORD-000015,GH-CUST-00391,GH,GHS,268.16,268.16,Fashion,23.05.2025,29.05.2025,False,,,completed
GH-ORD-000016,GH-CUST-00017,GH,GHS,84.2,84.2,Home & Kitchen,17.08.2025,2025-08-17 00:00:00,False,,3.0,completed
GH-ORD-000017,GH-CUST-00267,GH,GHS,458.05,458.05,Sports,27.02.2025,,True,14-Mar-2025,,completed
GH-ORD-000018,GH-CUST-00386,GH,GHS,252.91,16.44,Automotive,09/12/2023 00:00,22-Sep-2023,False,,5.0,completed
GH-ORD-000019,GH-CUST-00060,GH,GHS,492.0,492.0,Grocery,12.10.2023,16-Oct-2023,False,,,completed
GH-ORD-000020,GH-CUST-00144,GH,GHS,3.0,3.0,Toys,10/27/2023 00:00,2023-11-13 10:31:22,False,,5.0,completed
GH-ORD-000021,GH-CUST-00214,GH,GHS,310.15,310.15,Sports,19-Jan-2025,,False,,,completed
GH-ORD-000022,GH-CUST-00430,GH,GHS,434.12,434.12,Books,2024-09-17 00:00:00,24.09.2024,False,,4.0,completed
GH-ORD-000023,GH-CUST-00321,GH,GHS,423.11,423.11,Electronics,2023-05-07 00:00:00,16-May-2023,False,,3.0,completed
GH-ORD-000024,GH-CUST-00204,GH,GHS,228.04,228.04,Fashion,11-May-2024,2024-05-21 15:28:14,False,,,completed
GH-ORD-000025,GH-CUST-00177,GH,GHS,361.64,361.64,Electronics,27-Sep-2024,10/06/2024 01:09,False,,,completed
GH-ORD-000026,GH-CUST-00473,GH,GHS,429.35,429.35,Home & Kitchen,04/25/2025 00:00,05/01/2025 13:16,False,,4.0,completed
GH-ORD-000027,GH-CUST-00497,GH,GHS,3.0,0.2,Automotive,15.10.2024,10/21/2024 04:50,False,,4.0,completed
GH-ORD-000028,GH-CUST-00525,GH,GHS,217.54,217.54,Automotive,08.07.2024,14.07.2024,False,,3.0,completed
