order_id,region,channel
US-ORD-000000,US,organic
US-ORD-000001,US,referral
US-ORD-000002,US,social
US-ORD-000003,US,social
US-ORD-000004,US,paid_search
US-ORD-000005,US,paid_search
US-ORD-000006,US,paid_search
US-ORD-000007,US,email
US-ORD-000008,US,social
US-ORD-000009,US,social
US-ORD-000010,US,paid_search
US-ORD-000011,US,referral
US-ORD-000012,US,email
US-ORD-000013,US,paid_search
US-ORD-000014,US,paid_search
US-ORD-000015,US,paid_search
US-ORD-000016,US,organic
US-ORD-000017,US,organic
US-ORD-000018,US,organic
US-ORD-000019,US,organic
US-ORD-000020,US,social
US-ORD-000021,US,paid_search
US-ORD-000022,US,organic
US-ORD-000023,US,organic
US-ORD-000024,US,organic
US-ORD-000025,US,email
US-ORD-000026,US,paid_search
US-ORD-000027,US,organic
US-ORD-000028,US,social
US-ORD-000029,US,paid_search
US-ORD-000030,US,social
US-ORD-000031,US,paid_search
US-ORD-000032,US,paid_search
US-ORD-000033,US,referral
US-ORD-000034,US,referral
US-ORD-000035,US,email
US-ORD-000036,US,organic
US-ORD-000037,US,paid_search
US-ORD-000038,US,social
US-ORD-000039,US,organic
US-ORD-000040,US,paid_search
US-ORD-000041,US,organic
US-ORD-000042,US,paid_search
US-ORD-000043,US,referral
US-ORD-000044,US,organic
US-ORD-000045,US,social
US-ORD-000046,US,organic
US-ORD-000047,US,organic
US-ORD-000048,US,organic
US-ORD-000049,US,paid_search
US-ORD-000050,US,referral
US-ORD-000051,US,email
US-ORD-000052,US,referral
US-ORD-000053,US,email
US-ORD-000054,US,social
US-ORD-000055,US,referral
US-ORD-000056,US,paid_search
US-ORD-000057,US,paid_search
US-ORD-000058,US,paid_search
US-ORD-000059,US,organic
US-ORD-000060,US,organic
US-ORD-000061,US,organic
US-ORD-000062,US,email
US-ORD-000063,US,organic
US-ORD-000064,US,organic
US-ORD-000065,US,organic
US-ORD-000066,US,paid_search
US-ORD-000067,US,email
US-ORD-000068,US,paid_search
US-ORD-000069,US,referral
US-ORD-000070,US,email
US-ORD-000071,US,paid_search
US-ORD-000072,US,paid_search
US-ORD-000073,US,email
US-ORD-000074,US,social
US-ORD-000075,US,social
US-ORD-000076,US,email
US-ORD-000077,US,paid_search
US-ORD-000078,US,organic
US-ORD-000079,US,paid_search
US-ORD-000080,US,email
US-ORD-000081,US,social
US-ORD-000082,US,organic
US-ORD-000083,US,paid_search
US-ORD-000084,US,organic
US-ORD-000085,US,organic
US-ORD-000086,US,social
US-ORD-000087,US,social
US-ORD-000088,US,email
US-ORD-000089,US,organic
US-ORD-000090,US,paid_search
US-ORD-000091,US,social
US-ORD-000092,US,email
US-ORD-000093,US,social
US-ORD-000094,US,email
US-ORD-000095,US,organic
US-ORD-000096,US,organic
US-ORD-000097,US,organic
US-ORD-000098,US,paid_search
US-ORD-000099,US,paid_search
US-ORD-000100,US,paid_search
US-ORD-000101,US,social
US-ORD-000102,US,organic
US-ORD-000103,US,organic
US-ORD-000104,US,referral
US-ORD-000105,US,paid_search
US-ORD-000106,US,organic
US-ORD-000107,US,email
US-ORD-000108,US,paid_search
US-ORD-000109,US,paid_search
US-ORD-000110,US,organic
US-ORD-000111,US,paid_search
US-ORD-000112,US,referral
US-ORD-000113,US,email
US-ORD-000114,US,social
US-ORD-000115,US,email
US-ORD-000116,US,email
US-ORD-000117,US,paid_search
US-ORD-000118,US,email
US-ORD-000119,US,organic
US-ORD-000120,US,email
US-ORD-000121,US,email
US-ORD-000122,US,organic
US-ORD-000123,US,paid_search
US-ORD-000124,US,paid_search
US-ORD-000125,US,organic
US-ORD-000126,US,email
US-ORD-000127,US,email
US-ORD-000128,US,paid_search
US-ORD-000129,US,organic
US-ORD-000130,US,organic
US-ORD-000131,US,paid_search
US-ORD-000132,US,paid_search
US-ORD-000133,US,organic
US-ORD-000134,US,referral
US-ORD-000135,US,organic
US-ORD-000136,US,organic
US-ORD-000137,US,social
US-ORD-000138,US,organic
US-ORD-000139,US,referral
US-ORD-000140,US,referral
US-ORD-000141,US,organic
US-ORD-000142,US,organic
US-ORD-000143,US,organic
US-ORD-000144,US,organic
US-ORD-000145,US,paid_search
US-ORD-000146,US,social
US-ORD-000147,US,organic
US-ORD-000148,US,paid_search
US-ORD-000149,US,organic
US-ORD-000150,US,referral
US-ORD-000151,US,paid_search
US-ORD-000152,US,paid_search
US-ORD-000153,US,organic
US-ORD-000154,US,referral
US-ORD-000155,US,paid_search
US-ORD-000156,US,social
US-ORD-000157,US,email
US-ORD-000158,US,paid_search
US-ORD-000159,US,social
US-ORD-000160,US,organic
US-ORD-000161,US,social
US-ORD-000162,US,social
US-ORD-000163,US,organic
US-ORD-000164,US,paid_search
US-ORD-000165,US,email
US-ORD-000166,US,organic
US-ORD-000167,US,paid_search
US-ORD-000168,US,paid_search
US-ORD-000169,US,social
US-ORD-000170,US,social
US-ORD-000171,US,paid_search
US-ORD-000172,US,organic
US-ORD-000173,US,paid_search
US-ORD-000174,US,social
US-ORD-000175,US,paid_search
US-ORD-000176,US,social
US-ORD-000177,US,organic
US-ORD-000178,US,referral
US-ORD-000179,US,paid_search
US-ORD-000180,US,organic
US-ORD-000181,US,paid_search
US-ORD-000182,US,referral
US-ORD-000183,US,email
US-ORD-000184,US,organic
US-ORD-000185,US,social
US-ORD-000186,US,email
US-ORD-000187,US,social
US-ORD-000188,US,organic
US-ORD-000189,US,paid_search
US-ORD-000190,US,paid_search
US-ORD-000191,US,email
US-ORD-000192,US,referral
US-ORD-000193,US,social
US-ORD-000194,US,organic
US-ORD-000195,US,organic
US-ORD-000196,US,social
US-ORD-000197,US,email
US-ORD-000198,US,email
US-ORD-000199,US,email
US-ORD-000200,US,social
US-ORD-000201,US,paid_search
US-ORD-000202,US,paid_search
US-ORD-000203,US,email
US-ORD-000204,US,social
US-ORD-000205,US,paid_search
US-ORD-000206,US,paid_search
US-ORD-000207,US,social
US-ORD-000208,US,paid_search
US-ORD-000209,US,paid_search
US-ORD-000210,US,organic
US-ORD-000211,US,social
US-ORD-000212,US,social
US-ORD-000213,US,paid_search
US-ORD-000214,US,social
US-ORD-000215,US,paid_search
US-ORD-000216,US,organic
US-ORD-000217,US,social
US-ORD-000218,US,social
US-ORD-000219,US,email
US-ORD-000220,US,social
US-ORD-000221,US,social
US-ORD-000222,US,paid_search
US-ORD-000223,US,organic
US-ORD-000224,US,organic
US-ORD-000225,US,paid_search
US-ORD-000226,US,referral
US-ORD-000227,US,organic
US-ORD-000228,US,email
US-ORD-000229,US,social
US-ORD-000230,US,email
US-ORD-000231,US,organic
US-ORD-000232,US,social
US-ORD-000233,US,organic
US-ORD-000234,US,paid_search
US-ORD-000235,US,social
US-ORD-000236,US,organic
US-ORD-000237,US,paid_search
US-ORD-000238,US,social
US-ORD-000239,US,paid_search
US-ORD-000240,US,referral
US-ORD-000241,US,referral
US-ORD-000242,US,referral
US-ORD-000243,US,organic
