order_id,customer_id,region,currency_code,amount_local_currency,amount_display,product_category,order_date,delivered_date,is_refunded,refund_date,review_score,order_status
US-ORD-000000,US-CUST-00392,US,USD,97.35,97.35,Electronics,2023-11-24 00:00:00,28-Nov-2023,True,12/11/2023 00:00,4.0,completed
US-ORD-000001,US-CUST-00255,US,USD,143.54,143.54,Books,2025-07-10 00:00:00,07/14/2025 12:45,False,,3.0,completed
US-ORD-000002,US-CUST-00292,US,USD,146.06,146.06,Grocery,17-Jan-2024,2024-01-23 12:50:12,False,,3.0,completed
US-ORD-000003,US-CUST-00327,US,USD,99.42,99.42,Fashion,05.10.2023,09-Oct-2023,False,,,completed
US-ORD-000004,US-CUST-00205,US,USD,54.04,54.04,Sports,08/17/2024 00:00,08/22/2024 11:36,False,,2.0,completed
US-ORD-000005,US-CUST-00088,US,USD,3.0,3.0,Electronics,2025-10-08 00:00:00,11-Oct-2025,False,,3.0,completed
US-ORD-000006,US-CUST-00477,US,USD,89.14,89.14,Health,07.09.2025,2025-09-10 04:24:53,False,,2.0,completed
US-ORD-000007,US-CUST-00165,US,USD,140.95,140.95,Home & Kitchen,08.01.2024,2024-01-12 13:09:45,False,,4.0,completed
US-ORD-000008,US-CUST-00564,US,USD,10.89,10.89,Books,06.04.2024,09.04.2024,False,,4.0,completed
US-ORD-000009,US-CUST-00345,US,USD,23.21,23.21,Automotive,2024-09-12 00:00:00,09/17/2024 18:02,False,,3.0,completed
US-ORD-000010,US-CUST-00031,US,USD,61.87,61.87,,28-Feb-2023,03.03.2023,False,,5.0,completed
US-ORD-000011,US-CUST-00450,US,USD,74.39,74.39,Sports,16-Aug-2024,18-Aug-2024,False,,4.0,completed
US-ORD-000012,US-CUST-00133,US,USD,20.06,20.06,Books,22.02.2024,27.02.2024,False,,,completed
US-ORD-000013,US-CUST-00428,US,USD,3.0,3.0,Books,08/06/2023 00:00,08/27/2023 08:14,False,,,completed
US-ORD-000014,US-CUST-00510,US,USD,83.86,83.86,Books,24.11.2023,11/30/2023 11:26,False,,4.0,completed
US-ORD-000015,US-CUST-00118-DUP,US,USD,69.8,69.8,Toys,04-Jul-2023,07/08/2023 09:32,False,,2.0,completed
US-ORD-000016,US-CUST-00583,US,USD,42.61,42.61,Fashion,01/17/2023 00:00,21.01.2023,False,,4.0,completed
US-ORD-000017,US-CUST-00131,US,USD,90.46,90.46,Fashion,2024-08-14 00:00:00,15.08.2024,False,,4.0,completed
US-ORD-000018,US-CUST-00039,US,USD,57.67,57.67,Health,11/25/2024 00:00,11/28/2024 15:30,False,,4.0,completed
US-ORD-000019,US-CUST-00306,US,USD,121.39,121.39,Health,28.08.2025,09/03/2025 20:42,False,,3.0,completed
US-ORD-000020,US-CUST-00426,US,USD,61.09,61.09,Health,09.11.2025,14-Nov-2025,False,,4.0,completed
US-ORD-000021,US-CUST-00389,US,USD,53.44,53.44,Automotive,02/24/2023 00:00,02/28/2023 15:05,False,,3.0,completed
US-ORD-000022,US-CUST-00420,US,USD,21.17,21.17,Electronics,11-May-2024,05/17/2024 15:00,True,05-Jun-2024,5.0,completed
US-ORD-000023,US-CUST-00545,US,USD,71.76,71.76,Home & Kitchen,08.05.2023,15-May-2023,False,,4.0,completed
US-ORD-000024,US-CUST-00304,US,USD,45.97,45.97,Automotive,25.06.2024,30.06.2024,False,,,completed
US-ORD-000025,US-CUST-00404,US,USD,144.21,144.21,Books,28.09.2025,02.10.2025,False,,5.0,completed
US-ORD-000026,US-CUST-00490,US,USD,3.0,3.0,,10/27/2023 00:00,2023-11-02 15:27:04,False,,4.0,completed
US-ORD-000027,US-CUST-00423,US,USD,61.54,61.54,Health,09.07.2024,07/26/2024 04:24,True,08/21/2024 00:00,2.0,completed
US-ORD-000028,US-CUST-00488,US,USD,65.11,65.11,,07/25/2023 00:00,07/30/2023 17:08,False,,,completed
US-ORD-000029,US-CUST-00237,US,USD,141.51,141.51,Books,2024-08-11 00:00:00,,False,,,completed
US-ORD-000030,US-CUST-00296,US,USD,38.62,38.62,Toys,2023-12-25 00:00:00,2023-12-28 23:54:56,False,,4.0,cancelled
US-ORD-000031,US-CUST-00279,US,USD,89.79,89.79,Books,08/08/2023 00:00,11-Aug-2023,False,,4.0,completed
US-ORD-000032,US-CUST-00179,US,USD,79.37,79.37,Home & Kitchen,08-Nov-2024,11/14/2024 22:29,True,03.12.2024,3.0,completed
US-ORD-000033,US-CUST-00006,US,USD,60.26,60.26,Books,21.11.2025,11/25/2025 05:10,False,,,completed
US-ORD-000034,US-CUST-00121,US,USD,9.14,9.14,Sports,03-Jul-2025,2025-07-08 14:12:49,False,,4.0,completed
US-ORD-000035,US-CUST-00376,US,USD,75.23,75.23,Health,04/10/2025 00:00,14.04.2025,False,,,completed
US-ORD-000036,US-CUST-00550,US,USD,11.31,11.31,Grocery,10/01/2023 00:00,05.10.2023,False,,3.0,completed
US-ORD-000037,US-CUST-00517,US,USD,38.9,38.9,Health,06/17/2023 00:00,2023-06-21 16:15:29,False,,4.0,completed
US-ORD-000038,US-CUST-00522,US,USD,159.88,159.88,Home & Kitchen,03-Nov-2023,2023-11-08 08:22:47,False,,4.0,completed
US-ORD-000039,US-CUST-00022,US,USD,71.65,71.65,Home & Kitchen,17-Jul-2025,2025-07-18 03:53:56,False,,3.0,completed
US-ORD-000040,US-CUST-00061,US,USD,77.71,77.71,Beauty,2023-01-07 00:00:00,,False,,,completed
US-ORD-000041,US-CUST-00430,US,USD,66.34,66.34,Electronics,24.08.2025,08/29/2025 14:28,False,,3.0,completed
US-ORD-000042,US-CUST-00136,US,USD,22.41,22.41,Grocery,22.02.2025,01-Mar-2025,False,,,completed
US-ORD-000043,US-CUST-00557,US,USD,108.84,108.84,Health,15-Mar-2025,2025-03-21 13:58:10,False,,3.0,completed
US-ORD-000044,US-CUST-00429,US,USD,138.13,138.13,Beauty,2024-04-15 00:00:00,04/17/2024 04:42,False,,4.0,completed
US-ORD-000045,US-CUST-00552,US,USD,173.57,173.57,Fashion,05/18/2023 00:00,2023-05-21 00:27:15,False,,3.0,completed
US-ORD-000046,US-CUST-00242,US,USD,79.48,79.48,Home & Kitchen,26.04.2023,29.04.2023,False,,2.0,completed
US-ORD-000047,US-CUST-00352,US,USD,78.09,78.09,Beauty,03-Dec-2025,12/05/2025 21:00,False,,4.0,completed
US-ORD-000048,US-CUST-00307,US,USD,33.63,33.63,Toys,10/14/2024 00:00,10/22/2024 02:23,False,,3.0,completed
US-ORD-000049,US-CUST-00080,US,USD,60.51,60.51,Health,29-Apr-2023,05/05/2023 15:02,False,,2.0,completed
US-ORD-000050,US-CUST-00074,US,USD,85.24,85.24,Health,07/09/2023 00:00,16.07.2023,False,,2.0,completed
US-ORD-000051,US-CUST-00120,US,USD,83.31,83.31,Grocery,20-Mar-2024,25.03.2024,False,,,completed
US-ORD-000052,US-CUST-00267,US,USD,110.18,110.18,Toys,23.02.2024,25.02.2024,False,,2.0,completed
US-ORD-000053,US-CUST-00320,US,USD,98.49,98.49,Grocery,15-Oct-2025,20-Oct-2025,False,,4.0,completed
US-ORD-000054,US-CUST-00583,US,USD,90.59,90.59,,03/29/2024 00:00,01-Apr-2024,False,,4.0,completed
US-ORD-000055,US-CUST-00143,US,USD,88.19,88.19,Sports,22-Nov-2024,25-Nov-2024,False,,5.0,completed
US-ORD-000056,US-CUST-00236,US,USD,96.32,96.32,,2023-05-01 00:00:00,2023-05-03 14:49:02,False,,4.0,completed
US-ORD-000057,US-CUST-00421,US,USD,31.14,31.14,Beauty,2023-01-19 00:00:00,25-Jan-2023,False,,5.0,cancelled
US-ORD-000058,US-CUST-00183,US,USD,38.07,38.07,Health,2024-07-16 00:00:00,,False,,,completed
US-ORD-000059,US-CUST-00382,US,USD,93.58,93.58,Home & Kitchen,09-Dec-2025,15.12.2025,False,,5.0,completed
US-ORD-000060,US-CUST-00095,US,USD,63.96,63.96,Beauty,13-May-2024,2024-05-16 11:49:14,False,,3.0,completed
US-ORD-000061,US-CUST-00579,US,USD,38.29,38.29,Electronics,2025-09-01 00:00:00,2025-09-05 20:17:56,False,,4.0,completed
US-ORD-000062,US-CUST-00287,US,USD,87.45,87.45,Beauty,2023-03-29 00:00:00,04-Apr-2023,False,,4.0,completed
US-ORD-000063,US-CUST-00580,US,USD,140.41,140.41,Electronics,06-Oct-2024,10-Oct-2024,False,,5.0,completed
US-ORD-000064,US-CUST-00349-DUP,US,USD,103.16,103.16,Toys,10-Nov-2024,20.11.2024,True,12/08/2024 00:00,3.0,completed
US-ORD-000065,US-CUST-00442,US,USD,96.71,96.71,Electronics,10/30/2024 00:00,03-Nov-2024,False,,,completed
US-ORD-000066,US-CUST-00157,US,USD,107.13,107.13,Fashion,17-Feb-2025,02/22/2025 22:42,False,,3.0,completed
US-ORD-000067,US-CUST-00441,US,USD,36.89,36.89,,07-Aug-2023,08.08.2023,False,,3.0,completed
US-ORD-000068,US-CUST-00086,US,USD,113.54,113.54,Toys,11/15/2025 00:00,27.11.2025,False,,2.0,completed
US-ORD-000069,US-CUST-00431,US,USD,82.79,82.79,Toys,14.12.2023,19.12.2023,False,,3.0,completed
US-ORD-000070,US-CUST-00311,US,USD,81.92,81.92,Books,2023-06-07 00:00:00,12-Jun-2023,False,,2.0,completed
US-ORD-000071,US-CUST-00078-DUP,US,USD,91.1,91.1,Automotive,11/11/2024 00:00,17-Nov-2024,False,,,completed
US-ORD-000072,US-CUST-00589,US,USD,123.74,123.74,Grocery,02/16/2024 00:00,23.02.2024,False,,2.0,completed
US-ORD-000073,US-CUST-00563,US,USD,32.8,32.8,Toys,2024-07-28 00:00:00,08/03/2024 00:43,False,,4.0,completed
US-ORD-000074,US-CUST-00511,US,USD,98.18,98.18,Beauty,08/03/2025 00:00,2025-08-15 16:55:52,False,,4.0,completed
US-ORD-000075,US-CUST-00410,US,USD,126.1,126.1,Sports,10-May-2024,16-May-2024,False,,4.0,completed
US-ORD-000076,US-CUST-00045,US,USD,60.81,60.81,Health,06-Jan-2025,2025-01-12 12:25:49,False,,3.0,completed
