order_id,region,amount_usd,baseline,z_score
US-ORD-000001,US,143.54,customer,4.394911757964708
US-ORD-000008,US,10.89,customer,-8.353819139596279
US-ORD-000013,US,3.0,customer,-5.264293659621808
US-ORD-000024,US,45.97,customer,-3.1461595824011783
US-ORD-000029,US,141.51,customer,3.518897056721064
US-ORD-000038,US,159.88,customer,3.245370370370395
US-ORD-000045,US,173.57,customer,3.0449705297784044
US-ORD-000049,US,60.51,customer,-3.4452255418863444
US-ORD-000067,US,36.89,customer,-4.786816269284703
US-ORD-000080,US,77.89,customer,4.449097195543604
US-ORD-000087,US,45.6,customer,-31.83731019521845
US-ORD-000088,US,18.26,customer,-3.666163976136194
US-ORD-000095,US,139.86,customer,9.8374769443009
US-ORD-000105,US,111.58,customer,34.22372881355946
US-ORD-000111,US,133.75,customer,3.706068532916034
US-ORD-000138,US,15.59,customer,-3.670981131174288
US-ORD-000144,US,98.15,customer,4.295299549860937
US-ORD-000148,US,153.99,customer,3.810497713511203
US-ORD-000153,US,142.61,customer,4.745371544509264
US-ORD-000154,US,12.9,customer,-4.986422993924749
US-ORD-000169,US,213.55,customer,3.455613162628292
US-ORD-000170,US,32.0,customer,-4.315668202765017
US-ORD-000176,US,12.77,customer,-3.665658093797288
US-ORD-000177,US,12.06,customer,-6.261881944729695
US-ORD-000187,US,3.0,customer,-5.205546700141488
US-ORD-000205,US,177.18,customer,4.964992784674902
US-ORD-000214,US,142.32,customer,3.9856241358536435
US-ORD-000219,US,146.69,customer,3.2494828213464046
US-ORD-000224,US,16.95,customer,-3.2552504083310234
US-ORD-000235,US,131.07,customer,3.037265216413031
US-ORD-000238,US,132.22,customer,3.701936022487171
US-ORD-000244,US,18.7,customer,-4.8186028560401555
US-ORD-000247,US,17.38,customer,-3.0453801954746536
US-ORD-000262,US,33.45,customer,-7.524084778420141
US-ORD-000263,US,122.41,customer,5.827529021558826
US-ORD-000265,US,36.37,customer,-4.056290011485211
US-ORD-000274,US,100.19,customer,3.4070031748113077
US-ORD-000285,US,8.15,customer,-3.4845748102567833
US-ORD-000295,US,105.37,customer,5.967082860385902
US-ORD-000297,US,185.49,customer,6.364639688379134
US-ORD-000304,US,57.55,customer,-4.667630046843876
US-ORD-000309,US,188.71,customer,4.009082664029441
US-ORD-000352,US,155.9,customer,3.797882682881957
US-ORD-000357,US,134.28,customer,3.2069852482755623
US-ORD-000362,US,94.63,customer,4.109004739336496
US-ORD-000364,US,3.0,customer,-6.954865180371308
US-ORD-000365,US,53.26,customer,4.751479289940828
US-ORD-000366,US,9.1,customer,-9.876083366445414
US-ORD-000369,US,104.35,customer,4.024522021731678
US-ORD-000382,US,168.45,customer,3.08904580191732
US-ORD-000389,US,168.98,customer,4.246017699115035
US-ORD-000394,US,183.15,customer,3.114327953677466
US-ORD-000399,US,93.99,customer,3.0191582002902724
US-ORD-000411,US,178.09,customer,3.474750898402239
US-ORD-000419,US,30.47,customer,-5.416386836803216
US-ORD-000425,US,80.5,customer,-13.578255675028847
US-ORD-000427,US,11.88,customer,-3.3650450437899857
US-ORD-000430,US,87.55,customer,7.76007005254021
